region,round,order,created_at_utc,updated_at_utc,measurement_id,total_ms,dns_ms,tcp_ms,tls_ms,ttfb_ms,download_ms,remote_ip,http_status,tls_version,probe_city,probe_country,probe_asn,probe_network,probe_latitude,probe_longitude,probe_tags,address_family,measurement_status,test_status
europe-west12,1,1,2026-08-04T17:18:39.513Z,2026-08-04T17:18:39.836Z,2GVxF7S97rjzhSWli00020t4w,168,1,48,66,53,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,2,4,2026-08-04T17:18:51.264Z,2026-08-04T17:18:51.574Z,22Di1sydgLYIWiUq600020t4w,153,1,48,54,50,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,3,3,2026-08-04T17:19:01.012Z,2026-08-04T17:19:01.314Z,2QvO9TYtHHr8vnKZn00020t4x,153,1,47,54,50,1,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,4,2,2026-08-04T17:19:08.118Z,2026-08-04T17:19:08.439Z,23Pwq98rxQNXG8ilp00020t4x,152,1,47,53,51,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,5,1,2026-08-04T17:19:21.611Z,2026-08-04T17:19:21.918Z,2n1JoZWnqzwlQhytT00020t4x,155,1,48,54,51,1,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,6,4,2026-08-04T17:19:34.747Z,2026-08-04T17:19:35.111Z,2E5YoV6Jxbhyet0x400020t4x,213,1,79,71,62,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,7,3,2026-08-04T17:19:44.203Z,2026-08-04T17:19:44.510Z,2ZBLZszZK5cWOk6cS00020t4x,156,1,49,54,52,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,8,2,2026-08-04T17:19:51.703Z,2026-08-04T17:19:52.075Z,2Htv1Qm3JpKWLFnE700020t4x,197,1,59,68,69,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,9,1,2026-08-04T17:20:00.368Z,2026-08-04T17:20:00.727Z,2BCMad2QmdCH9Oz6I00020t4y,193,1,61,66,65,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,10,4,2026-08-04T17:20:14.678Z,2026-08-04T17:20:15.067Z,20iE5dxJ5POvAH4tI00020t4y,212,2,62,74,74,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,11,3,2026-08-04T17:20:25.562Z,2026-08-04T17:20:26.576Z,2JnfBReLgSigiopJ900020t4y,164,1,48,61,54,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,12,2,2026-08-04T17:20:35.963Z,2026-08-04T17:20:36.632Z,2prFFLuC8soTXDxaJ00020t4y,155,1,48,54,52,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,13,1,2026-08-04T17:20:42.874Z,2026-08-04T17:20:43.226Z,2f71n49fhnKTfH6ng00020t4y,203,1,72,70,60,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,14,4,2026-08-04T17:20:54.769Z,2026-08-04T17:20:55.104Z,20cZdchfOw8Qft4wa00020t4y,151,1,47,53,50,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,15,3,2026-08-04T17:21:05.843Z,2026-08-04T17:21:06.547Z,2e3rXHbLKrkrNZVxI00020t4z,155,1,48,54,52,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,16,2,2026-08-04T17:21:14.140Z,2026-08-04T17:21:14.465Z,2k4BCdREKMFLGK8Md00020t4z,156,1,50,53,52,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,17,1,2026-08-04T17:21:21.494Z,2026-08-04T17:21:21.861Z,2OTwqd1wuZMlSaof200020t4z,174,1,56,60,57,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,18,4,2026-08-04T17:21:31.269Z,2026-08-04T17:21:31.594Z,2JpZ4hiD7RrlFjxy400020t4z,157,1,48,55,53,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,19,3,2026-08-04T17:21:39.593Z,2026-08-04T17:21:39.936Z,2cIqQrRhfp045wGrS00020t4z,173,1,66,54,52,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west12,20,2,2026-08-04T17:21:46.412Z,2026-08-04T17:21:46.723Z,250zi1CoHXpjLxzvE00020t4z,158,1,49,55,53,0,34.1.107.140,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,1,2,2026-08-04T17:18:40.745Z,2026-08-04T17:18:41.146Z,2NU1GBxRRqvPDwGSv00020t4w,231,48,57,65,61,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,2,1,2026-08-04T17:18:48.865Z,2026-08-04T17:18:49.205Z,2BkrJv9W4sT9ztRDa00020t4w,184,1,57,65,61,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,3,4,2026-08-04T17:19:01.816Z,2026-08-04T17:19:02.155Z,24ZPCrECO4jZ2UMLQ00020t4x,182,1,57,63,61,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,4,3,2026-08-04T17:19:09.870Z,2026-08-04T17:19:10.213Z,2QtOqA99hdi1N5rmf00020t4x,189,1,60,65,63,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,5,2,2026-08-04T17:19:22.401Z,2026-08-04T17:19:22.760Z,2mTk7RuYLEdc1EKdd00020t4x,185,1,58,64,62,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,6,1,2026-08-04T17:19:32.146Z,2026-08-04T17:19:32.499Z,24docENQl2X9HDCXR00020t4x,198,1,59,68,70,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,7,4,2026-08-04T17:19:44.965Z,2026-08-04T17:19:45.320Z,2vFaE9697eafUgn4P00020t4x,185,1,57,66,61,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
europe-west3,8,3,2026-08-04T17:19:52.621Z,2026-08-04T17:19:53.640Z,2sVDzHZpwhTi7dr3J00020t4x,817,1,367,82,367,0,34.1.66.222,400,TLSv1.3,Sidon,LB,39402,Ferrari-Networks,33.56,35.37,eyeball-network,IPv4,finished,finished
